Sample_ID,Batch_Code,Product_Name,Test_Date,Moisture_Content_%,Fat_Content_%,Protein_Content_%,Water_Activity_Aw,Acid_Insoluble_Ash_%,Acid_Value_mgKOHg,Peroxide_Value,Total_Plate_Count_CFUg,Yeast_Mold_Count_CFUg,Lead_Pb_mgkg,Cadmium_Cd_mgkg,Failure_Category,Historical_Status
SPL-2026-0286,B-250127-7,Wafer Vanilla,2025-01-27,2.83,16.72,6.9,0.539,0.063,0.82,1.19,2474,2058,0.001,0.026,None,Pass
SPL-2026-0270,B-250127-8,Cracker Filled,2025-01-27,3.64,18.86,5.98,0.539,0.027,1.51,1.21,5216,873,0.026,0.012,None,Pass
SPL-2026-0518,B-250127-5,Butter Biscuit,2025-01-27,3.82,,7.4,0.59,0.005,2.07,1.91,28268,208,0.112,0.094,Stability,Fail
SPL-2026-0976,B-250128-4,Marie Biscuit,2025-01-28,2.64,20.97,5.42,0.504,0.007,1.62,1.64,884,112,0.328,0.038,None,Pass
SPL-2026-0464,B-250128-5,Sandwich Biscuit,2025-01-28,4.73,20.33,4.4,0.656,0.027,1.01,0.88,2378,2959,0.153,0.045,Physicochemical,Fail
SPL-2026-0453,B-250128-1,Cracker Plain,2025-01-28,4.15,16.33,7.07,0.624,0.072,2.16,1.1,5738,774,0.068,0.118,Stability,Fail
SPL-2026-0642,B-250128-4,Wafer Vanilla,2025-01-28,1.89,18.6,9.07,0.404,0.066,1.32,0.77,1386,117,0.202,0.06,None,Pass
SPL-2026-0653,B-250129-8,Marie Biscuit,2025-01-29,4.51,15.75,6.52,0.704,0.003,1.08,0.76,2065,10398,0.031,,Microbiological,Fail
SPL-2026-0983,B-250130-7,Cracker Plain,2025-01-30,2.63,17.87,7.66,0.488,0.062,0.39,,751,121,0.086,0.036,None,Pass
SPL-2026-0267,B-250130-6,Cracker Plain,2025-01-30,2.66,18.8,5.99,0.462,0.018,0.89,1.46,1066,2362,0.392,0.007,None,Pass
SPL-2026-0979,B-250131-3,Sandwich Biscuit,2025-01-31,4.6,13.11,7.02,0.655,0.108,1.6,1.33,1646,874,0.052,0.093,Physicochemical,Fail
SPL-2026-0026,B-250131-4,Cracker Filled,2025-01-31,2.79,21.78,5.47,0.498,0.034,,1.16,172,457,0.355,0.137,None,Pass
SPL-2026-0021,B-250131-3,Cracker Plain,2025-01-31,4.05,16.25,6.85,0.669,0.048,0.62,0.73,10292,2952,0.226,0.005,None,Pass
SPL-2026-0801,B-250131-7,Butter Biscuit,2025-01-31,1.22,19.02,7.34,0.363,,1.66,1.48,673,83,0.199,0.202,Heavy_Metal,Fail
SPL-2026-0136,B-250201-6,Sandwich Biscuit,2025-02-01,,26.72,7.89,0.59,0.034,0.96,0.97,2652,1632,0.228,0.001,None,Pass
SPL-2026-0351,B-250202-5,Cracker Plain,2025-02-02,1.65,18.94,6.61,0.379,0.005,0.76,0.53,1668,181,0.235,0.057,None,Pass
SPL-2026-0411,B-250202-5,Marie Biscuit,2025-02-02,4.47,18.06,4.6,0.597,,1.64,1.31,2269,3459,0.189,,None,Pass
SPL-2026-0470,B-250202-2,Wafer Vanilla,2025-02-02,4.33,15.36,8.19,0.631,0.003,0.2,0.33,6036,845,0.029,0.019,None,Pass
SPL-2026-0615,B-250202-1,Cracker Filled,2025-02-02,3.66,13.74,8.48,,0.032,0.05,0.13,16829,204,0.051,0.075,None,Pass
SPL-2026-0889,B-250203-2,Butter Biscuit,2025-02-03,5.1,19.42,7.31,0.725,0.01,1.36,0.71,1751,95,0.054,0.08,Physicochemical,Fail
SPL-2026-0035,B-250205-8,Wafer Vanilla,2025-02-05,3.25,,7.02,0.575,0.043,0.05,0.96,13886,354,0.03,0.022,None,Pass
SPL-2026-0456,B-250205-4,Cracker Plain,2025-02-05,0.55,17.15,6.66,0.358,0.051,0.86,0.68,937,73,0.153,0.005,None,Pass
SPL-2026-0362,B-250206-7,Wafer Vanilla,2025-02-06,4.37,22.31,5.42,,0.013,2.33,1.85,3291,934,0.145,0.008,Stability,Fail
SPL-2026-0769,B-250206-4,Butter Biscuit,2025-02-06,5.79,15.66,7.09,0.789,0.045,1.48,1.33,10872,2184,0.076,0.029,Physicochemical,Fail
SPL-2026-0953,B-250208-8,Cracker Filled,2025-02-08,1.9,20.61,5.64,0.425,0.101,1.53,1.0,371,94,0.056,0.151,Physicochemical,Fail
SPL-2026-0834,B-250208-5,Marie Biscuit,2025-02-08,3.17,22.48,10.38,0.552,0.012,0.57,0.96,1198,772,0.016,0.149,None,Pass
SPL-2026-0022,B-250208-6,Sandwich Biscuit,2025-02-08,4.16,21.11,6.43,,0.049,0.84,0.95,1702,2591,0.055,0.01,None,Pass
SPL-2026-0253,B-250209-2,Marie Biscuit,2025-02-09,4.24,17.49,8.28,,0.119,0.56,0.49,4906,653,0.142,,Physicochemical,Fail
SPL-2026-0911,B-250210-1,Cookies Choco Chip,2025-02-10,2.5,12.56,7.7,0.467,0.003,1.28,1.0,256,242,0.113,0.027,None,Pass
SPL-2026-0215,B-250210-1,Cookies Choco Chip,2025-02-10,3.37,13.24,6.94,0.546,0.035,0.6,0.31,508,5266,0.204,0.023,None,Pass
SPL-2026-0027,B-250211-5,Sandwich Biscuit,2025-02-11,4.48,20.57,9.21,0.656,0.007,1.01,1.34,8553,1181,,0.079,None,Pass
SPL-2026-0055,B-250211-6,Cracker Plain,2025-02-11,1.92,19.25,6.65,0.426,0.014,0.21,0.48,1299,183,,0.03,None,Pass
SPL-2026-0588,B-250212-3,Butter Biscuit,2025-02-12,4.1,16.02,4.82,0.634,0.013,1.13,1.46,3675,257,0.094,0.128,None,Pass
SPL-2026-0571,B-250212-7,Wafer Vanilla,2025-02-12,4.91,13.71,8.36,0.689,0.133,1.88,1.64,2772,380,0.121,0.129,Physicochemical,Fail
SPL-2026-0096,B-250213-7,Sandwich Biscuit,2025-02-13,2.97,17.12,9.1,0.506,0.078,1.34,1.12,4313,1170,0.403,0.207,Heavy_Metal,Fail
SPL-2026-0361,B-250214-6,Cookies Choco Chip,2025-02-14,1.49,21.36,5.75,0.338,0.003,0.48,1.04,31,137,0.22,0.065,None,Pass
SPL-2026-0851,B-250214-2,Wafer Vanilla,2025-02-14,4.43,19.14,4.93,0.633,0.027,1.91,1.59,5099,1821,0.135,0.238,Heavy_Metal,Fail
SPL-2026-0122,B-250215-8,Cracker Filled,2025-02-15,3.45,25.19,7.78,0.589,0.024,1.16,1.33,1110,214,0.389,0.241,Heavy_Metal,Fail
SPL-2026-0256,B-250215-6,Marie Biscuit,2025-02-15,3.73,14.99,9.12,0.587,0.011,0.73,1.29,718,4292,0.098,0.044,None,Pass
SPL-2026-0328,B-250215-2,Butter Biscuit,2025-02-15,2.01,18.15,6.52,0.429,0.08,0.2,0.4,575,93,0.013,0.006,None,Pass
SPL-2026-0543,B-250217-8,Marie Biscuit,2025-02-17,4.03,18.96,,0.672,0.019,0.9,0.78,5175,1791,0.203,0.149,None,Pass
SPL-2026-0721,B-250217-6,Butter Biscuit,2025-02-17,5.72,22.22,5.43,0.735,0.17,1.23,0.57,4161,21724,0.242,0.1,Microbiological,Fail
SPL-2026-0809,B-250218-7,Sandwich Biscuit,2025-02-18,1.75,22.05,7.69,,0.024,1.3,1.41,822,295,0.334,0.033,None,Pass
SPL-2026-0931,B-250218-2,Cracker Plain,2025-02-18,1.64,18.64,9.07,0.365,0.178,0.95,0.71,1426,264,0.258,0.035,Physicochemical,Fail
SPL-2026-0531,B-250218-8,Cracker Filled,2025-02-18,3.99,18.99,4.0,0.628,0.014,1.2,0.89,5048,1152,0.034,0.009,Physicochemical,Fail
SPL-2026-0633,B-250219-8,Cracker Plain,2025-02-19,3.73,,4.36,0.614,0.098,0.67,,7746,221,0.457,0.035,Physicochemical,Fail
SPL-2026-0690,B-250220-8,Cookies Choco Chip,2025-02-20,3.73,11.93,4.41,0.593,0.077,0.69,0.95,13543,422,0.043,0.013,Physicochemical,Fail
SPL-2026-0842,B-250222-6,Cracker Filled,2025-02-22,2.71,21.84,5.2,0.556,0.014,0.73,1.04,2106,648,0.131,0.064,None,Pass
SPL-2026-0738,B-250223-2,Sandwich Biscuit,2025-02-23,3.61,12.26,4.63,0.569,0.032,0.39,0.27,6025,331,0.087,,None,Pass
SPL-2026-0788,B-250223-1,Cracker Filled,2025-02-23,2.86,19.75,8.19,0.466,0.007,,1.77,2035,408,0.109,0.055,None,Pass
SPL-2026-0880,B-250224-8,Cracker Filled,2025-02-24,4.44,17.13,8.31,0.601,0.038,0.31,0.98,12797,1151,0.151,0.072,None,Pass
SPL-2026-0359,B-250225-6,Butter Biscuit,2025-02-25,4.08,23.46,,0.64,0.004,0.72,1.32,1277,2213,0.184,0.016,None,Pass
SPL-2026-0289,B-250225-8,Cracker Plain,2025-02-25,3.11,15.46,4.82,0.525,0.06,0.77,0.45,3258,288,0.074,0.059,None,Pass
SPL-2026-0436,B-250225-5,Butter Biscuit,2025-02-25,3.02,,6.36,0.485,0.026,,0.53,128,326,0.064,0.051,None,Pass
SPL-2026-0450,B-250225-2,Sandwich Biscuit,2025-02-25,4.04,12.76,6.35,0.63,0.033,1.29,1.38,1107,1269,0.126,0.008,None,Pass
SPL-2026-0166,B-250226-8,Cookies Choco Chip,2025-02-26,4.73,25.08,7.12,0.671,,1.35,1.32,29464,1387,0.061,0.008,None,Pass
SPL-2026-0827,B-250226-3,Cracker Filled,2025-02-26,4.3,15.5,4.99,0.596,0.081,1.82,1.76,8687,917,0.108,0.159,None,Pass
SPL-2026-0730,B-250226-4,Cracker Filled,2025-02-26,4.15,25.43,4.83,0.583,0.032,0.78,1.08,676,93,0.168,0.003,None,Pass
SPL-2026-0227,B-250227-8,Cookies Choco Chip,2025-02-27,3.06,13.76,4.45,0.473,0.005,0.36,0.79,674,206,0.022,0.012,Physicochemical,Fail
SPL-2026-0855,B-250227-6,Sandwich Biscuit,2025-02-27,4.1,17.9,6.46,0.651,0.062,0.99,1.15,4881,1408,0.126,0.12,None,Pass
SPL-2026-0272,B-250301-3,Butter Biscuit,2025-03-01,,20.45,6.03,0.532,0.015,0.84,0.57,2257,785,0.147,0.011,None,Pass
SPL-2026-0816,B-250301-1,Cookies Choco Chip,2025-03-01,0.54,16.65,3.55,0.264,0.024,2.18,1.36,55,1140,0.017,0.005,Stability,Fail
SPL-2026-0867,B-250301-3,Cookies Choco Chip,2025-03-01,1.38,,9.74,0.392,0.002,0.79,0.96,305,115,0.066,0.089,None,Pass
SPL-2026-0489,B-250301-5,Cookies Choco Chip,2025-03-01,2.73,17.81,6.46,0.517,0.011,1.42,1.7,351,2332,,,None,Pass
SPL-2026-0538,B-250301-4,Butter Biscuit,2025-03-01,3.51,17.14,,0.636,0.254,1.03,1.17,13853,1363,0.129,0.057,Physicochemical,Fail
SPL-2026-0484,B-250302-3,Cookies Choco Chip,2025-03-02,1.42,20.46,5.29,0.369,0.122,,,864,139,0.128,0.015,Physicochemical,Fail
SPL-2026-0466,B-250302-2,Wafer Vanilla,2025-03-02,2.41,21.11,8.3,0.494,,0.29,0.58,21081,2758,0.337,0.002,None,Pass
SPL-2026-0321,B-250303-1,Sandwich Biscuit,2025-03-03,4.41,19.31,5.94,0.692,0.025,1.0,0.93,59344,284,0.224,0.073,Microbiological,Fail
SPL-2026-0579,B-250303-8,Wafer Vanilla,2025-03-03,2.61,15.57,3.86,0.46,0.009,0.26,1.13,1722,7717,0.414,0.006,Physicochemical,Fail
SPL-2026-0216,B-250303-4,Marie Biscuit,2025-03-03,1.98,24.91,8.61,0.44,0.007,0.99,0.92,576,664,0.19,,None,Pass
SPL-2026-0020,B-250304-4,Cracker Plain,2025-03-04,5.31,18.06,7.12,0.719,0.026,0.88,1.27,5220,846,0.137,0.028,Physicochemical,Fail
SPL-2026-0946,B-250306-1,Butter Biscuit,2025-03-06,1.95,22.45,8.35,0.388,0.036,0.05,0.47,6725,322,0.139,0.007,None,Pass
SPL-2026-0343,B-250306-5,Cracker Filled,2025-03-06,3.3,17.23,6.48,0.573,0.017,1.33,,864,223,0.701,0.001,Heavy_Metal,Fail
SPL-2026-0157,B-250306-4,Butter Biscuit,2025-03-06,6.51,22.17,2.5,0.836,0.079,1.02,,24310,1296,0.143,0.138,Physicochemical,Fail
SPL-2026-0050,B-250306-6,Cookies Choco Chip,2025-03-06,3.73,14.37,7.47,0.577,0.066,0.61,1.1,729,285,0.028,0.018,None,Pass
SPL-2026-0876,B-250307-5,Cracker Plain,2025-03-07,3.68,15.01,4.8,0.573,0.019,1.9,1.95,2108,142,0.306,0.021,None,Pass
SPL-2026-0619,B-250307-6,Butter Biscuit,2025-03-07,1.44,16.62,7.86,0.342,0.023,1.17,1.97,637,108,0.106,0.001,None,Pass
SPL-2026-0238,B-250308-3,Cracker Plain,2025-03-08,5.97,17.42,6.35,0.792,0.008,0.82,0.72,5267,415,0.073,0.054,Physicochemical,Fail
SPL-2026-0928,B-250309-3,Sandwich Biscuit,2025-03-09,4.27,20.14,6.08,0.619,0.008,0.25,0.71,14221,1939,0.118,0.025,None,Pass
SPL-2026-0605,B-250309-7,Cookies Choco Chip,2025-03-09,3.29,18.64,6.03,0.537,0.031,1.25,0.93,3438,207,0.386,0.016,None,Pass
SPL-2026-0630,B-250310-1,Sandwich Biscuit,2025-03-10,4.07,20.64,9.75,0.645,0.014,0.45,1.1,4338,1239,0.106,0.025,None,Pass
SPL-2026-0610,B-250310-7,Wafer Vanilla,2025-03-10,3.4,10.25,8.45,0.531,0.023,1.05,1.6,451,132,0.084,0.026,None,Pass
SPL-2026-0805,B-250311-2,Cookies Choco Chip,2025-03-11,4.08,15.65,4.92,0.602,0.005,1.21,1.22,4988,3691,0.017,0.084,None,Pass
SPL-2026-0005,B-250311-7,Cracker Plain,2025-03-11,4.59,19.72,8.08,0.642,0.317,,0.76,2095,1155,0.048,0.004,Physicochemical,Fail
SPL-2026-0776,B-250312-3,Wafer Vanilla,2025-03-12,2.56,20.1,6.12,0.496,0.187,1.94,1.41,625,192,0.042,0.082,Physicochemical,Fail
SPL-2026-0645,B-250313-4,Cookies Choco Chip,2025-03-13,3.32,16.77,6.56,0.547,0.016,0.91,0.34,1242,1392,0.139,0.04,None,Pass
SPL-2026-0926,B-250313-2,Wafer Vanilla,2025-03-13,2.99,,8.33,0.532,0.012,1.37,1.29,2707,620,0.105,0.136,None,Pass
SPL-2026-0358,B-250314-2,Wafer Vanilla,2025-03-14,4.53,18.64,6.26,0.681,0.001,1.08,1.21,1327,99,0.481,0.038,None,Pass
SPL-2026-0895,B-250314-3,Cookies Choco Chip,2025-03-14,2.41,14.4,6.49,0.457,0.018,0.4,0.05,729,107,0.252,0.083,None,Pass
SPL-2026-0819,B-250315-2,Cracker Filled,2025-03-15,3.05,16.68,5.8,0.502,0.076,1.62,1.51,394,1899,0.026,0.107,None,Pass
SPL-2026-0342,B-250315-4,Sandwich Biscuit,2025-03-15,4.04,15.38,7.37,0.643,0.002,0.91,0.89,1101,933,0.4,0.073,None,Pass
SPL-2026-0528,B-250316-8,Marie Biscuit,2025-03-16,2.83,19.54,6.94,0.553,0.03,0.65,,1094,670,0.252,0.005,None,Pass
SPL-2026-0836,B-250316-5,Cookies Choco Chip,2025-03-16,4.53,,8.84,0.676,0.047,0.89,0.91,16946,1412,0.033,0.031,None,Pass
SPL-2026-0445,B-250317-5,Cracker Plain,2025-03-17,4.22,12.34,9.87,0.617,0.005,1.36,1.48,1167,357,0.223,0.026,None,Pass
SPL-2026-0090,B-250318-1,Cookies Choco Chip,2025-03-18,4.0,19.99,5.19,0.625,0.001,1.02,1.11,10517,235,0.059,0.218,Heavy_Metal,Fail
SPL-2026-0187,B-250318-3,Marie Biscuit,2025-03-18,3.48,22.98,6.41,0.612,0.015,1.1,1.54,4728,261,0.146,,None,Pass
SPL-2026-0963,B-250318-8,Cookies Choco Chip,2025-03-18,5.15,13.02,6.21,0.745,0.103,1.06,1.45,14699,2293,0.006,0.068,Physicochemical,Fail
SPL-2026-0063,B-250319-2,Sandwich Biscuit,2025-03-19,3.37,16.91,6.28,0.547,0.009,1.32,1.36,761,677,0.528,0.025,Heavy_Metal,Fail
SPL-2026-0612,B-250319-8,Cracker Plain,2025-03-19,2.19,17.45,6.42,0.454,,0.79,,8256,283,0.05,0.022,None,Pass
SPL-2026-0607,B-250321-5,Sandwich Biscuit,2025-03-21,4.56,15.12,3.11,0.669,0.048,0.05,0.05,8792,756,0.031,0.003,Physicochemical,Fail
SPL-2026-0935,B-250321-7,Cracker Plain,2025-03-21,2.71,13.93,6.96,0.512,0.073,0.97,0.85,7278,227,0.033,,None,Pass
SPL-2026-0698,B-250322-4,Cracker Filled,2025-03-22,2.79,22.68,7.29,0.493,0.043,1.12,1.09,833,67,0.155,0.012,None,Pass
SPL-2026-0575,B-250322-7,Butter Biscuit,2025-03-22,3.71,15.46,8.12,,0.018,0.31,0.05,14607,2746,0.043,0.032,None,Pass
SPL-2026-0677,B-250322-8,Cracker Filled,2025-03-22,3.85,22.84,7.16,0.634,0.023,0.74,1.08,1258,508,0.02,0.112,None,Pass
SPL-2026-0104,B-250323-2,Butter Biscuit,2025-03-23,2.45,17.41,6.14,0.521,0.021,,1.24,3915,330,0.115,0.082,None,Pass
SPL-2026-0524,B-250323-4,Cookies Choco Chip,2025-03-23,3.35,13.21,9.54,0.559,0.028,0.35,0.74,33377,1697,0.384,0.023,None,Pass
SPL-2026-0481,B-250323-6,Sandwich Biscuit,2025-03-23,2.33,18.4,7.09,0.509,0.001,0.05,0.62,831,950,0.089,0.045,None,Pass
SPL-2026-0046,B-250324-8,Wafer Vanilla,2025-03-24,4.1,23.77,9.06,0.646,0.003,0.75,0.21,16074,4513,0.016,0.141,None,Pass
SPL-2026-0537,B-250324-3,Cracker Plain,2025-03-24,3.9,,5.95,0.565,0.079,0.46,0.21,4457,690,0.036,0.01,None,Pass
SPL-2026-0970,B-250324-6,Butter Biscuit,2025-03-24,5.42,12.77,10.16,0.762,0.01,0.55,0.76,49185,4167,0.016,0.038,Physicochemical,Fail
SPL-2026-0229,B-250325-3,Cracker Plain,2025-03-25,3.46,27.19,6.19,0.6,0.133,2.09,1.38,891,226,0.08,0.027,Stability,Fail
SPL-2026-0406,B-250325-7,Cracker Plain,2025-03-25,3.76,14.18,6.64,0.55,0.018,0.64,0.73,542,648,0.005,0.001,None,Pass
SPL-2026-0655,B-250326-7,Cracker Plain,2025-03-26,4.09,15.17,9.13,0.627,0.018,0.91,0.78,6864,972,0.325,0.182,None,Pass
SPL-2026-0947,B-250326-5,Wafer Vanilla,2025-03-26,3.89,,3.96,0.621,0.023,,0.21,7420,77,0.017,0.002,Physicochemical,Fail
SPL-2026-0854,B-250328-1,Marie Biscuit,2025-03-28,3.66,18.86,6.22,0.583,0.018,0.74,0.63,1533,6768,0.417,0.054,None,Pass
SPL-2026-0695,B-250328-8,Butter Biscuit,2025-03-28,3.82,15.6,7.56,0.576,0.048,1.44,0.91,3008,286,0.048,0.024,None,Pass
SPL-2026-0778,B-250329-8,Butter Biscuit,2025-03-29,3.51,18.79,7.04,0.588,0.026,2.02,1.75,12968,276,0.114,0.022,Stability,Fail
