Moisture_Content_%,Fat_Content_%,Protein_Content_%,Water_Activity_Aw,Acid_Insoluble_Ash_%,Acid_Value_mgKOHg,Peroxide_Value,Total_Plate_Count_CFUg,Yeast_Mold_Count_CFUg,Lead_Pb_mgkg,Cadmium_Cd_mgkg,Historical_Status,Product_Butter Biscuit,Product_Cookies Choco Chip,Product_Cracker Filled,Product_Cracker Plain,Product_Marie Biscuit,Product_Sandwich Biscuit,Product_Wafer Vanilla
3.4,10.25,8.45,0.531,0.023,1.05,1.6,451,132,0.084,0.026,0,False,False,False,False,False,False,True
4.08,15.65,4.92,0.602,0.005,1.21,1.22,4988,3691,0.017,0.084,0,False,True,False,False,False,False,False
4.59,19.72,8.08,0.642,0.317,0.8985147184358143,0.76,2095,1155,0.048,0.004,1,False,False,False,True,False,False,False
2.56,20.1,6.12,0.496,0.187,1.94,1.41,625,192,0.042,0.082,1,False,False,False,False,False,False,True
3.32,16.77,6.56,0.547,0.016,0.91,0.34,1242,1392,0.139,0.04,0,False,True,False,False,False,False,False
2.99,19.401238461439082,8.33,0.532,0.012,1.37,1.29,2707,620,0.105,0.136,0,False,False,False,False,False,False,True
4.53,18.64,6.26,0.681,0.001,1.08,1.21,1327,99,0.481,0.038,0,False,False,False,False,False,False,True
2.41,14.4,6.49,0.457,0.018,0.4,0.05,729,107,0.252,0.083,0,False,True,False,False,False,False,False
3.05,16.68,5.8,0.502,0.076,1.62,1.51,394,1899,0.026,0.107,0,False,False,True,False,False,False,False
4.04,15.38,7.37,0.643,0.002,0.91,0.89,1101,933,0.4,0.073,0,False,False,False,False,False,True,False
2.83,19.54,6.94,0.553,0.03,0.65,0.9683825961169654,1094,670,0.252,0.005,0,False,False,False,False,True,False,False
4.53,16.813965697733725,8.84,0.676,0.047,0.89,0.91,16946,1412,0.033,0.031,0,False,True,False,False,False,False,False
4.22,12.34,9.87,0.617,0.005,1.36,1.48,1167,357,0.223,0.026,0,False,False,False,True,False,False,False
4.0,19.99,5.19,0.625,0.001,1.02,1.11,10517,235,0.059,0.218,1,False,True,False,False,False,False,False
3.48,22.98,6.41,0.612,0.015,1.1,1.54,4728,261,0.146,0.09009100718777312,0,False,False,False,False,True,False,False
5.15,13.02,6.21,0.745,0.103,1.06,1.45,14699,2293,0.006,0.068,1,False,True,False,False,False,False,False
3.37,16.91,6.28,0.547,0.009,1.32,1.36,761,677,0.528,0.025,1,False,False,False,False,False,True,False
2.19,17.45,6.42,0.454,0.03926543039733045,0.79,1.100405486272297,8256,283,0.05,0.022,0,False,False,False,True,False,False,False
4.56,15.12,3.11,0.669,0.048,0.05,0.05,8792,756,0.031,0.003,1,False,False,False,False,False,True,False
2.71,13.93,6.96,0.512,0.073,0.97,0.85,7278,227,0.033,0.06440468326233949,0,False,False,False,True,False,False,False
2.79,22.68,7.29,0.493,0.043,1.12,1.09,833,67,0.155,0.012,0,False,False,True,False,False,False,False
3.71,15.46,8.12,0.5911032895306493,0.018,0.31,0.05,14607,2746,0.043,0.032,0,True,False,False,False,False,False,False
3.85,22.84,7.16,0.634,0.023,0.74,1.08,1258,508,0.02,0.112,0,False,False,True,False,False,False,False
2.45,17.41,6.14,0.521,0.021,1.2760517330728027,1.24,3915,330,0.115,0.082,0,True,False,False,False,False,False,False
3.35,13.21,9.54,0.559,0.028,0.35,0.74,33377,1697,0.384,0.023,0,False,True,False,False,False,False,False
2.33,18.4,7.09,0.509,0.001,0.05,0.62,831,950,0.089,0.045,0,False,False,False,False,False,True,False
4.1,23.77,9.06,0.646,0.003,0.75,0.21,16074,4513,0.016,0.141,0,False,False,False,False,False,False,True
3.9,21.09161337009477,5.95,0.565,0.079,0.46,0.21,4457,690,0.036,0.01,0,False,False,False,True,False,False,False
5.42,12.77,10.16,0.762,0.01,0.55,0.76,49185,4167,0.016,0.038,1,True,False,False,False,False,False,False
3.46,27.19,6.19,0.6,0.133,2.09,1.38,891,226,0.08,0.027,1,False,False,False,True,False,False,False
3.76,14.18,6.64,0.55,0.018,0.64,0.73,542,648,0.005,0.001,0,False,False,False,True,False,False,False
4.09,15.17,9.13,0.627,0.018,0.91,0.78,6864,972,0.325,0.182,0,False,False,False,True,False,False,False
3.89,17.784290035050816,3.96,0.621,0.023,0.2324140850740016,0.21,7420,77,0.017,0.002,1,False,False,False,False,False,False,True
3.66,18.86,6.22,0.583,0.018,0.74,0.63,1533,6768,0.417,0.054,0,False,False,False,False,True,False,False
3.82,15.6,7.56,0.576,0.048,1.44,0.91,3008,286,0.048,0.024,0,True,False,False,False,False,False,False
3.51,18.79,7.04,0.588,0.026,2.02,1.75,12968,276,0.114,0.022,1,True,False,False,False,False,False,False
3.21,17.37,9.4,0.531,0.002,1.74,1.54,4041,264,0.031,0.027,0,False,False,False,False,True,False,False
2.85,22.58,8.72,0.520023469370271,0.008,1.4289486723438791,1.29,88,317,0.132,0.206,1,False,False,False,False,False,True,False
3.76,17.6,5.83,0.571,0.012,1.81,1.69,17723,376,0.007,0.046,0,False,False,False,True,False,False,False
2.64,18.07393690422567,7.09,0.5160201826120111,0.023921160999880817,0.31,1.68,387,1215,0.465,0.019,0,False,False,False,True,False,False,False
2.44,18.88,7.49,0.488,0.048,1.32,0.96,1837,359,0.546,0.092,1,False,False,False,False,False,False,True
3.15,17.83,6.0,0.546,0.039,1.85,1.92,549,164,0.008,0.039,0,False,False,True,False,False,False,False
3.86,9.68,7.64,0.584,0.033518097716495596,0.45,0.21,27678,1559,0.143,0.018,0,False,False,True,False,False,False,False
3.926008904058673,19.32,6.47,0.592,0.151,2.45,1.65,11935,9106,0.265,0.011,1,False,True,False,False,False,False,False
1.91,16.83,6.98,0.373,0.018,0.86,0.46,1663,191,0.096,0.06,0,False,False,False,False,True,False,False
4.47,19.93,8.22,0.692,0.021,0.99,0.81,17135,5717,0.068,0.064,0,False,False,False,False,True,False,False
4.14,20.99,7.18,0.661,0.041,0.43,0.63,1713,1242,0.114,0.001,0,False,False,True,False,False,False,False
2.46,9.81,4.74,0.5147956106834494,0.034,1.44,1.05,5909,272,0.104,0.164,0,False,True,False,False,False,False,False
2.31,15.11,6.56,0.433,0.038,1.3,1.16,665,52,0.438,0.046,0,False,False,True,False,False,False,False
3.58,14.66,5.05,0.551,0.001,0.18461649288528512,0.18,6037,593,0.047,0.038,0,False,False,False,False,True,False,False
3.89,11.99,5.11,0.568,0.021,1.2,1.11,4602,467,0.014,0.064,0,False,False,False,True,False,False,False
3.58,17.55,4.62,0.573,0.233,1.04,1.36,1244,171,0.133,0.01,1,False,True,False,False,False,False,False
2.66,13.35,4.13,0.505,0.015,0.72,0.43,712,658,0.046,0.052,1,False,False,True,False,False,False,False
1.55,15.915704545171652,6.69,0.44,0.146,1.03,0.81,3039,411,0.018,0.194,1,False,False,False,True,False,False,False
2.63,19.25,5.43,0.48,0.003,1.72,0.87,130,286,0.014,0.056,0,False,True,False,False,False,False,False
2.97,23.87,6.69,0.489,0.004,1.7,1.19,1917,443,0.117,0.072,0,False,True,False,False,False,False,False
4.72,12.3,5.01,0.629,0.022,0.89,1.4,3322,144,0.161,0.021,0,False,False,False,False,False,True,False
1.79,19.53,6.6107698822835905,0.472,0.053,1.22,1.76,522,684,0.05908564802096439,0.096,0,False,True,False,False,False,False,False
2.82,13.05,4.15,0.516,0.034,0.19,0.38,690,999,0.188,0.001,1,False,True,False,False,False,False,False
3.85,21.91,4.51,0.646,0.008,1.8,1.55,13232,4784,0.247,0.008,0,False,False,False,True,False,False,False
3.69,21.44,5.76,0.557,0.05,0.79,0.8730458113326496,9520,168,0.168,0.065,0,False,False,False,False,False,False,True
2.79,14.5,5.98,0.522,0.003,1.16,0.82,354,601,0.526,0.023,1,True,False,False,False,False,False,False
4.25,17.3,5.6,0.635,0.024,0.94,0.84,614,1147,0.086,0.024,0,True,False,False,False,False,False,False
1.27,22.75,4.56,0.401,0.028,1.17,1.2,4227,68,0.512,0.046,1,False,False,False,False,False,True,False
4.57,15.58,5.42,0.733,0.03,1.36,1.01,4017,4927,0.073,0.032,0,False,False,False,False,True,False,False
4.81,13.75,4.01,0.686,0.014,0.05,0.35,22576,2091,0.236,0.099,1,False,False,False,False,True,False,False
3.99,19.96,6.2,0.616,0.033,1.56,1.2280872431788705,3814,638,0.194,0.063,0,False,False,False,True,False,False,False
3.63,16.75,3.76,0.571,0.055,0.32,0.29,21775,594,0.12201012311954153,0.045,1,False,False,False,False,True,False,False
3.94,19.27,7.0,0.649,0.031,0.38,0.79,1491,141,0.334,0.042,0,False,False,False,True,False,False,False
4.57,22.68,4.83,0.655,0.012,1.46,1.13,12907,1960,0.052,0.04,0,False,False,False,False,True,False,False
2.15,15.87,8.17,0.441,0.008,0.94,0.89,826,1714,0.134,0.038,0,False,False,False,True,False,False,False
3.88,21.17,6.0,0.555,0.036,0.85,1.07,1705,237,0.138,0.019,0,False,False,False,False,False,True,False
4.23,13.29,6.78,0.651,0.015,0.96,0.8835683829665946,9772,260,0.033,0.003,0,False,False,False,False,True,False,False
2.02,18.75,11.69,0.406,0.138,1.24,0.75,534,533,0.085,0.032,1,True,False,False,False,False,False,False
4.96,17.07,7.4,0.695,0.131,0.97,1.54,7254,1360,0.012,0.087,1,False,False,True,False,False,False,False
4.24,17.26,5.56,0.601,0.03,1.14,0.9915424525525789,8857,1008,0.02,0.052,0,False,False,False,False,False,False,True
2.42,21.43,4.49,0.478,0.012,1.96,1.0359970990295395,4214,472,0.183,0.125,1,False,False,False,False,False,True,False
2.79,17.530259551145985,6.15,0.488,0.025,1.48,1.41,1131,509,0.226,0.1,0,False,False,False,False,False,False,True
2.05,13.83,7.14,0.433,0.02,0.76,0.8046785418412815,1790,945,0.328,0.12,0,False,False,False,False,True,False,False
4.89,21.85,6.4157329584597855,0.722,0.022,1.83,1.1141236883523493,6218,1539,0.252,0.015,0,False,False,False,True,False,False,False
4.19,13.57,8.4,0.612,0.015,1.06,0.87,1150,798,0.369,0.047,0,False,False,False,True,False,False,False
3.91,17.35,6.96,0.618,0.021,1.63,0.85,1016,1292,0.128,0.068,0,False,False,False,False,True,False,False
4.68,22.86,3.86,0.684,0.095,0.6,0.64,1661,683,0.107,0.343,1,False,True,False,False,False,False,False
3.2806174462626125,22.9,8.57,0.627,0.044,1.05,1.74,3887,1304,0.001,0.02,0,False,False,False,False,True,False,False
2.98,19.76,10.07,0.483,0.01,0.94,0.72,1102,311,0.246,0.038,0,False,False,False,True,False,False,False
3.14,18.07,6.45,0.562,0.06384608652333323,1.62,0.91,11182,264,0.01,0.057,0,False,False,False,False,False,True,False
4.08,18.32,6.12,0.6343552264302699,0.045,1.01,0.75,7198,1024,0.131,0.073,0,False,True,False,False,False,False,False
3.4542330849571066,17.47,5.18,0.63,0.013,0.05,0.69,36614,1012,0.194,0.009,0,False,True,False,False,False,False,False
3.77,22.02,6.78,0.59,0.003,1.06,0.08,16585,1117,0.134,0.031,0,False,False,False,False,False,False,True
3.02,17.89007651437063,7.89,0.525,0.02,1.16,1.49,145,272,0.121,0.014,0,False,False,True,False,False,False,False
3.09,23.87,7.49,0.515,0.020436678113492944,1.1,0.9,872,2089,0.291,0.005,0,True,False,False,False,False,False,False
3.33,19.81,6.91,0.559,0.035,1.27,0.78,11577,547,0.648,0.063,1,False,False,False,False,False,False,True
3.29,18.77,4.24,0.545,0.013,0.36,0.53,23848,444,0.046,0.094,1,False,True,False,False,False,False,False
2.92,18.24,7.62,0.501,0.007,0.95,1.24,7915,766,0.116,0.022,0,False,False,True,False,False,False,False
2.2,23.0,6.88,0.44,0.06335182950256636,1.44,0.61,5202,323,0.003,0.106,0,False,True,False,False,False,False,False
3.34,15.87,7.44,0.573,0.008,1.09,1.24,1050,785,0.053,0.024,0,False,False,False,True,False,False,False
